"FullName","Length","LastWriteTime"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd217j.DAT","1600","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd217s.DAT","1598","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd217t.DAT","1598","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd227e.DAT","1077","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd237e.DAT","1379","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd257e.DAT","1470","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd267e.DAT","1506","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd347e.DAT","1161","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd357e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd387e.DAT","1551","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd397e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3b7e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3C7e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3d7e.DAT","1777","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3d7j.DAT","1783","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3d7s.DAT","1776","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3d7sa.DAT","1813","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3d7t.DAT","1776","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3e7e.DAT","1772","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd3e7j.DAT","1776","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd427e.DAT","1077","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd437e.DAT","1077","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd447e.DAT","1075","23.03.2020 21:00:00"
